"","Harvest","Harvest %","P(lambda < 1)","P(1 < lambda < 1.1)","P(lambda > 1.1)","Prediction effectifs"
"56","55","6","0.24","0.18","0.58","720-1836"
"66","65","7","0.25","0.19","0.56","711-1820"
"76","75","8","0.27","0.19","0.54","700-1803"
"86","85","9","0.29","0.2","0.51","693-1781"
"96","95","10","0.31","0.2","0.48","684-1765"
"106","105","11","0.33","0.2","0.46","676-1749"
"116","115","12","0.36","0.2","0.44","669-1734"
"126","125","13","0.38","0.21","0.41","661-1718"
"136","135","14","0.41","0.21","0.38","653-1696"
"146","145","15","0.43","0.2","0.36","642-1689"
"156","155","16","0.46","0.2","0.34","634-1662"
"166","165","17","0.48","0.2","0.32","623-1643"
"176","175","18","0.51","0.19","0.29","616-1632"
"186","185","19","0.54","0.19","0.27","608-1609"
"196","195","20","0.57","0.18","0.25","599-1594"
"206","205","21","0.59","0.17","0.23","592-1582"
"216","215","22","0.62","0.17","0.21","581-1558"
"226","225","23","0.65","0.16","0.19","569-1542"
"236","235","24","0.67","0.15","0.18","559-1524"
"246","245","25","0.69","0.14","0.16","553-1508"
"256","255","26","0.72","0.13","0.15","543-1490"
"266","265","27","0.74","0.13","0.14","535-1475"
"276","275","28","0.76","0.12","0.12","526-1450"
"286","285","29","0.78","0.11","0.11","519-1439"
"296","295","30","0.8","0.1","0.1","508-1420"
"306","305","31","0.82","0.09","0.09","500-1403"
"316","315","32","0.84","0.08","0.08","491-1389"
"326","325","33","0.85","0.08","0.07","480-1373"
"336","335","34","0.87","0.07","0.06","470-1357"
"346","345","35","0.88","0.06","0.06","462-1343"
"356","355","36","0.89","0.06","0.05","452-1320"
"366","365","37","0.9","0.05","0.04","444-1303"
"376","375","38","0.91","0.05","0.04","435-1289"
"386","385","39","0.92","0.04","0.03","424-1269"
"396","395","40","0.93","0.04","0.03","416-1259"
